,en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文,TRADITIONAL CHINESE / 繁体中文,KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW, العربية / ARABIC,BOSNIAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLUME,Volume,Volume,Volumen,Lautstärke,Volume,Volume,Volume,Громкость,Ένταση,Ses Şiddeti,Volumen,Volum,Volym,Volume,Głośność,Äänenvoimakkuus,ボリューム,音量,音量,음량,Hlasitost,Hangerő,Volum,ความดัง,Гръмкост,עוצמה,مستوى الصوت,Jačina Zvuka
MOUSE SENSIBILITY,Mouse sensitivity,Sensibilité de la souris,Sensibilidad,Mausempfindlichkeit,Sensibilità mouse,Sensibilidade do mouse,Sensibilidade do rato,Чувствительность мыши,Ευαισθησία ποντικιού,Fare hassasiyeti,Musefølsomhed,Musesensitivitet,Muskänslighet,Muis gevoeligheid,Czułość myszy,Hiiren herkkyys,マウス感度,鼠标灵敏度,鼠標靈敏度,마우스 감도,Citlivost myši,Egérérzékenység,Sensitivitate mouse,ความไวการรับค่าเมาส์,Чувствителност на мишката,רגישות עכבר,حساسية الفأرة,Osjetljivost Miša
FULLSCREEN,Fullscreen,Plein écran,Pantalla completa,Vollbild,Schermo intero,Tela cheia,Ecrã inteiro,Во весь экран,Πλήρης οθόνη,Tam ekran,Fuld skærm,Fullskjerm,Fullskärm,Volledig scherm,Pełny ekran,Kokoruutu,フルスクリーン,全屏,全屏,전체화면,Celá obrazovka,Teljes képernyő,Ecran complet,เต็มหน้าจอ,На цял екран,מסך מלא,تكبير الشاشة Fullscreen,Cijeli Zaslon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL PROGRESS WILL BE LOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE YOU SURE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES RESET GAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANCEL,Cancel,Annuler,Cancelar,Abbrechen,Cancella,Cancelar,Cancelar,Отмена,Ακύρωση,İptal,Annuler,Avbryte,Avbryt,Annuleren,Anuluj,Peruuta,キャンセル,取消,取消,취소,Storno,Mégse,Anulare,ยกเลิก,Отмяма,ביטול,إلغاء,Otkazati
QUIT,Quit,Quitter,Cerrar,Beenden,Esci,Sair,Sair,Выход,Έξοδος,Oyunu Kapat,Afslut,Avslutt,Avsluta,Stoppen,Wyjdź,Lopeta,終了する,退出,退出,종료,Ukončit hru,Bezárás,Închidere,ออก,Изход,הפסק,خروج,Izaći
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,en,ar,bg,de,el,eo,es,fi,fr,he,hi,hu,it,ja,ko,la,nl,pl,pt,pt_br,ro,ru,sk,sv,th,tr,uk,zh
,English,Arabic,Bulgarian,German,Greek,Esperanto,Spanish,Finnish,French,Hebrew,Hindi,Hungarian,Italian,Japanese,Korean,Latin,Dutch,Polish,Portuguese,Brazilian Portuguese,Romanian,Russian,,Swedish,Thai,Turkish,Ukrainian,Simplified Chinese
RESUME,Resume,,Продължете,Fortsetzen,,,Reanudar,Jatka,Reprendre,,,Folytatás,Continua,,재개,,Doorgaan,Kontynuuj,,Continuar,Continua,Продолжить,,Fortsätt,,Devam et,Продовжити,继续
RESET GAME,Reset,,Нулиране,Zurücksetzen,,,Resetear,Palauta,Remettre à zéro,,,Visszaállítás,Ripristinare le impostazioni?,,리셋,,,Przywróć,,Limpar,Resetati,Сбросить,,Återställ,,,Повернутися до початкових значень,还原
