,"en","es","pt_BR","zh_Hans","ru","fr","de","it","pt",,"el","tr","da","nb","sv","nl","pl","fi","ja",,"zh_Hant","ko","cs","hu","ro","th","bg","he","ar","bs","uk"
"LANG__NAME","ENGLISH","SPANISH / ESPAÑOL","PORTUGUESE / PORTUGUÊS (BR)","SIMPLIFIED CHINESE / 简体中文","RUSSIAN / РУССКИЙ","FRENCH / FRANÇAIS","GERMAN / DEUTSCH","ITALIAN / ITALIANO","PORTUGUESE / PORTUGUÊS (PT)",,"GREEK / ΕΛΛΗΝΙΚΑ","TURKISH / TÜRKÇE","DANISH / DANSK","NORWEGIAN (NB) / NORSK BOKMÅL","SWEDISH / SVENSKA","DUTCH / NEDERLANDS","POLISH / POLSKI","FINNISH / SUOMI","JAPANESE / 日本語",,"TRADITIONAL CHINESE / 繁体中文","KOREAN / 한국어","CZECH / ČEŠTINA","HUNGARIAN / MAGYAR","ROMANIAN / ROMÂNĂ","THAI / ภาษาไทย","BULGARIAN / БЪЛГАРСКИ","עברית / HEBREW"," العربية / ARABIC","BOSNIAN","Ukrainian"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOLUME","Volume","Volumen","Volume","音量","Громкость","Volume","Lautstärke","Volume","Volume",,"Ένταση","Ses Şiddeti","Volumen","Volum","Volym","Volume","Głośność","Äänenvoimakkuus","ボリューム",,"音量","음량","Hlasitost","Hangerő","Volum","ความดัง","Гръмкост","עוצמה","مستوى الصوت","Jačina Zvuka",
"LANGUAGE","Language","Idioma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOUSE SENSIBILITY","Mouse sensitivity","Sensibilidad","Sensibilidade do mouse","鼠标灵敏度","Чувствительность мыши","Sensibilité de la souris","Mausempfindlichkeit","Sensibilità mouse","Sensibilidade do rato",,"Ευαισθησία ποντικιού","Fare hassasiyeti","Musefølsomhed","Musesensitivitet","Muskänslighet","Muis gevoeligheid","Czułość myszy","Hiiren herkkyys","マウス感度",,"鼠標靈敏度","마우스 감도","Citlivost myši","Egérérzékenység","Sensitivitate mouse","ความไวการรับค่าเมาส์","Чувствителност на мишката","רגישות עכבר","حساسية الفأرة","Osjetljivost Miša",
"CAMERA ACCELERATION","Camera acceleration","Aceleración de cámara","Aceleração da câmera","相机加速度","Ускорение камеры",,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMERA SHAKE","Camera shake","Temblor de cámara","Trepidação da câmera","相机抖动","Дрожание камеры",,,,,,,,,,,,,,,,,,,,,,,,,,
"FULLSCREEN","Fullscreen","Pantalla completa","Tela cheia","全屏","Во весь экран","Plein écran","Vollbild","Schermo intero","Ecrã inteiro",,"Πλήρης οθόνη","Tam ekran","Fuld skærm","Fullskjerm","Fullskärm","Volledig scherm","Pełny ekran","Kokoruutu","フルスクリーン",,"全屏","전체화면","Celá obrazovka","Teljes képernyő","Ecran complet","เต็มหน้าจอ","На цял екран","מסך מלא","تكبير الشاشة Fullscreen","Cijeli Zaslon",
"VSYNC","VSync","VSync","VSync","Vsync","Vsync",,,,,,,,,,,,,,,,,,,,,,,,,,
"ALL PROGRESS WILL BE LOST","All progress will be lost","Todo el progreso se perderá","Todo o progresso será perdido","所有进展都将付诸东流","Весь прогресс будет потерян",,,,,,,,,,,,,,,,,,,,,,,,,,
"YES RESET GAME","Yes, reset game","Si, reiniciar juego","Sim, reiniciar o jogo","是，重置游戏","Да, перезагрузите игру",,,,,,,,,,,,,,,,,,,,,,,,,,
"CANCEL","Cancel","Cancelar","Cancelar","取消","Отмена","Annuler","Abbrechen","Cancella","Cancelar",,"Ακύρωση","İptal","Annuler","Avbryte","Avbryt","Annuleren","Anuluj","Peruuta","キャンセル",,"取消","취소","Storno","Mégse","Anulare","ยกเลิก","Отмяма","ביטול","إلغاء","Otkazati",
"QUIT","Quit","Salir","Sair","退出","Выход","Quitter","Beenden","Esci","Sair",,"Έξοδος","Oyunu Kapat","Afslut","Avslutt","Avsluta","Stoppen","Wyjdź","Lopeta","終了する",,"退出","종료","Ukončit hru","Bezárás","Închidere","ออก","Изход","הפסק","خروج","Izaći",
"RESUME","Resume","Reanudar","Continuar","继续","Продолжить","Reprendre","Fortsetzen","Continua",,,,"Devam et",,,"Fortsätt","Doorgaan","Kontynuuj","Jatka",,,,"재개",,"Folytatás","Continua",,"Продължете",,,,"Продовжити"
"RESET GAME","Reset game","Reiniciar juego","Reiniciar o jogo","还原","Сбросить","Remettre à zéro","Zurücksetzen","Ripristinare le impostazioni?",,,,,,,"Återställ",,"Przywróć","Palauta",,,,"리셋",,"Visszaállítás","Resetati",,"Нулиране",,,,"Повернутися до початкових значень"
"SETTINGS","Settings","Configuración","Configuração","设置","Настройки",,,,,,,,,,,,,,,,,,,,,,,,,,
"HOW TO PLAY","How to play","Cómo jugar","Como jogar","如何玩","Как играть",,,,,,,,,,,,,,,,,,,,,,,,,,
"AUDIO LANGUAGE","Audio and language","Sonido e idioma","Áudio e idioma","音频和语言","Аудио и язык",,,,,,,,,,,,,,,,,,,,,,,,,,
"DISPLAY","Display","Pantalla","Tela","显示屏","Дисплей",,,,,,,,,,,,,,,,,,,,,,,,,,
"GAMEPLAY","Gameplay","Juego","Jogo","游戏玩法","Геймплей",,,,,,,,,,,,,,,,,,,,,,,,,,
"DISPLAY SETTINGS","Display settings","Configuración de pantalla","Configuração da tela","显示设置","Настройки дисплея",,,,,,,,,,,,,,,,,,,,,,,,,,
"AUDIO LANGUAGE SETTINGS","Audio and language settings","Configuración de sonido e idioma","Configurações de áudio e idioma","音频和语言设置","Настройки звука и языка",,,,,,,,,,,,,,,,,,,,,,,,,,
"GAMEPLAY SETTINGS","Gameplay settings","Configuración de juego","Configurações de jogo","游戏设置","Настройки игрового процесса",,,,,,,,,,,,,,,,,,,,,,,,,,
"BACK","Back","Volver","Voltar","返回","Назад",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUNCH","Lunchroom","Comedor","Refeitório","午餐室","Обеденный зал",,,,,,,,,,,,,,,,,,,,,,,,,,
"EXIT","Exit","Salida","Saída","退出","Выход",,,,,,,,,,,,,,,,,,,,,,,,,,
"EXIT_DOOR","Exit","Salida","Saída","安全出口","Выход",,,,,,,,,,,,,,,,,,,,,,,,,,
"UNDERGROUND","Underground","Subsuelo","No subsolo","地下","Под землей",,,,,,,,,,,,,,,,,,,,,,,,,,
